y,x,beta,adf_pvalue,half_life
DOGE,ADA,0.7530604016765337,0.00033715526462837965,54.614325561886865
XMR,DOGE,0.4078037746546581,0.0015468417498931642,17.83387527755577
XMR,BCH,0.37745478770143936,0.0026475926714589226,10.954598608528523
LINK,BCH,0.8250208411062877,0.0031827842715800073,18.27371026610234
XLM,SOL,0.5346222669060733,0.0033185357405047947,25.71317495797503
BCH,SOL,0.7158395548673044,0.0033331393502492386,36.508447858271296
XRP,BTC,0.7952303139612354,0.0036943284002138085,41.638927677622206
ADA,XRP,1.9328881729087328,0.007331756354582035,42.36211446218798
DOGE,BTC,0.8574696717275714,0.008359848807680526,71.00186969455449
XMR,LINK,0.43907810110635426,0.008489853504074454,14.827300721165823
TRX,BNB,0.4668353038543521,0.009337855640264707,25.224482209142568
LTC,XLM,0.7805899645706095,0.010461815409217297,33.98617662494395
LINK,SOL,0.6069410309254966,0.01118079751040065,32.776203454346195
DOGE,XRP,1.172734394761331,0.011228118498470633,28.258058341672736
TRX,ETH,0.5949040831719217,0.012016405654097463,40.73188368179596
XLM,LINK,0.9560569450867753,0.0120527528949359,32.55276097132754
XMR,XRP,0.5841749261732181,0.013166462411923029,15.163566726925634
XLM,XMR,1.6752428522201166,0.013457781466334803,17.49445163400048
TRX,XMR,0.6342413987832907,0.013786578420529593,18.928136282492666
BNB,BCH,0.19614867114814127,0.016449818977496748,86.7015381529945
ZEC,SOL,0.5464467686308887,0.017747319709546783,21.556369797677835
TRX,ADA,0.476682636587316,0.01809442450845668,50.263520628737325
LTC,XMR,1.5818487241427008,0.024443554326692367,18.44138029499515
XMR,SHIB,0.09833310550482466,0.025750016161134464,28.89151363529607
SOL,BTC,1.843043017668508,0.02938637308489948,32.20418841369946
XMR,ADA,0.3855969710737681,0.029608357628434924,23.169636831160567
BNB,AVAX,0.27853248930064867,0.03088660586868102,30.26591974684491
LTC,LINK,0.8741461222824962,0.034402195864713166,37.28070176622878
XMR,SOL,0.23298860731203155,0.036397459381344976,23.548695420198193
ADA,SOL,0.7208112594795781,0.03744338763334661,43.35439718348717
DOGE,SOL,0.4774207843734752,0.03801353784334677,50.687243236012684
TRX,DOGE,0.24815493719790715,0.04010530720840022,24.398475354436997
LTC,BCH,0.7084616954048392,0.040865654296962026,29.404399659103046
XRP,ETH,0.5094900690837757,0.04448547026396694,44.20365793084805
TRX,SHIB,0.12367635237663444,0.04529151460676379,25.25920035205424
